id,name,album_id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,color
6B0ZlLf0p2s1Lwt3ivAXKy,Still,0QxD0lOJH9NBtJuSb2can4,classical,0.398,0.00209,0,-39.959,1,0.0444,0.996,0.955,0.0813,0.0971,71.461,audio_features,spotify:track:6B0ZlLf0p2s1Lwt3ivAXKy,https://api.spotify.com/v1/tracks/6B0ZlLf0p2s1Lwt3ivAXKy,https://api.spotify.com/v1/audio-analysis/6B0ZlLf0p2s1Lwt3ivAXKy,142333,4,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00]
6BQrmjAgPfPTwILoFEK3Hd,I Wish you Roses,2XCrHIlpS6yq2Lix46lOPi,hip-hop,0.467,0.624,10,-8.511,0,0.0508,0.143,0.000899,0.145,0.31,141.889,audio_features,spotify:track:6BQrmjAgPfPTwILoFEK3Hd,https://api.spotify.com/v1/tracks/6BQrmjAgPfPTwILoFEK3Hd,https://api.spotify.com/v1/audio-analysis/6BQrmjAgPfPTwILoFEK3Hd,225947,4,[1.         0.70054304 0.37841105 1.        ]
6BaCraQ9xeLYg4Sb9TBT2X,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",52LQhrLLYOup9HhaOsv54e,pop,0.893,0.745,11,-3.105,0,0.0571,0.0642,0.0,0.0943,0.872,101.018,audio_features,spotify:track:6BaCraQ9xeLYg4Sb9TBT2X,https://api.spotify.com/v1/tracks/6BaCraQ9xeLYg4Sb9TBT2X,https://api.spotify.com/v1/audio-analysis/6BaCraQ9xeLYg4Sb9TBT2X,223413,4,[0.00196078 0.70928131 0.92328911 1.        ]
6BaxqcoEM9r3LXisTyJjST,Ridin' Solo,0aVJmVAeEx78nAA1rAKYf7,pop,0.442,0.83,9,-4.02,1,0.146,0.128,0.0,0.129,0.578,89.338,audio_features,spotify:track:6BaxqcoEM9r3LXisTyJjST,https://api.spotify.com/v1/tracks/6BaxqcoEM9r3LXisTyJjST,https://api.spotify.com/v1/audio-analysis/6BaxqcoEM9r3LXisTyJjST,215747,4,[0.00196078 0.70928131 0.92328911 1.        ]
6BdgtqiV3oXNqBikezwdvC,Over,6jlrjFR9mJV3jd1IPSplXU,hip-hop,0.35,0.845,7,-5.614,1,0.2,0.0107,0.0,0.123,0.45,99.643,audio_features,spotify:track:6BdgtqiV3oXNqBikezwdvC,https://api.spotify.com/v1/tracks/6BdgtqiV3oXNqBikezwdvC,https://api.spotify.com/v1/audio-analysis/6BdgtqiV3oXNqBikezwdvC,233560,5,[1.         0.70054304 0.37841105 1.        ]
6C7aTTCUWRK7dD379yUT3W,Roll Over Beethoven,6eedtCtCjibu80yOhylSGL,rock,0.715,0.797,3,-10.154,1,0.193,0.837,0.0,0.209,0.841,92.739,audio_features,spotify:track:6C7aTTCUWRK7dD379yUT3W,https://api.spotify.com/v1/tracks/6C7aTTCUWRK7dD379yUT3W,https://api.spotify.com/v1/audio-analysis/6C7aTTCUWRK7dD379yUT3W,144600,4,[0.5 0.  1.  1. ]
6CDQBADsdzJwc3qZ3OPDHH,Almost Like Being In Love,1Lrt5saApIz6z8dGmyKB7d,jazz,0.561,0.346,0,-12.596,0,0.0409,0.873,0.399,0.104,0.697,93.689,audio_features,spotify:track:6CDQBADsdzJwc3qZ3OPDHH,https://api.spotify.com/v1/tracks/6CDQBADsdzJwc3qZ3OPDHH,https://api.spotify.com/v1/audio-analysis/6CDQBADsdzJwc3qZ3OPDHH,290293,4,[0.50392157 0.99998103 0.70492555 1.        ]
6CN3e26iQSj1N5lomh0mfO,Like Toy Soldiers,1kTlYbs28MXw7hwO0NLYif,hip-hop,0.52,0.768,8,-3.489,0,0.359,0.0193,0.00034,0.104,0.398,79.178,audio_features,spotify:track:6CN3e26iQSj1N5lomh0mfO,https://api.spotify.com/v1/tracks/6CN3e26iQSj1N5lomh0mfO,https://api.spotify.com/v1/audio-analysis/6CN3e26iQSj1N5lomh0mfO,296880,4,[1.         0.70054304 0.37841105 1.        ]
6CPmUmMMXvGombRcl8p5Iw,Out Of Nowhere,0cu8JtZHQDqNPT0zmnDh2w,jazz,0.309,0.027,8,-27.669,1,0.0317,0.993,0.946,0.109,0.0663,96.45,audio_features,spotify:track:6CPmUmMMXvGombRcl8p5Iw,https://api.spotify.com/v1/tracks/6CPmUmMMXvGombRcl8p5Iw,https://api.spotify.com/v1/audio-analysis/6CPmUmMMXvGombRcl8p5Iw,159362,3,[0.50392157 0.99998103 0.70492555 1.        ]
6CUP2khYzdphXebxVTfPE3,Lo Mein,7IyoGB8J31fvQDwGtHAq9m,hip-hop,0.855,0.676,1,-5.736,1,0.325,0.0888,0.0,0.144,0.509,133.082,audio_features,spotify:track:6CUP2khYzdphXebxVTfPE3,https://api.spotify.com/v1/tracks/6CUP2khYzdphXebxVTfPE3,https://api.spotify.com/v1/audio-analysis/6CUP2khYzdphXebxVTfPE3,195299,4,[1.         0.70054304 0.37841105 1.        ]
6Cfjbe0yuS82fNIdbFWImO,エッグ・オン・ザ・ルーフ,16P20y7PWqVG3VlknqqK3A,jazz,0.62,0.242,0,-14.088,1,0.0392,0.749,0.245,0.106,0.36,63.395,audio_features,spotify:track:6Cfjbe0yuS82fNIdbFWImO,https://api.spotify.com/v1/tracks/6Cfjbe0yuS82fNIdbFWImO,https://api.spotify.com/v1/audio-analysis/6Cfjbe0yuS82fNIdbFWImO,429063,4,[0.50392157 0.99998103 0.70492555 1.        ]
6CzluEyPZeSc2uXtE38jBX,Sungazer,5p3TPojrtRq738sJ76SM3U,classical,0.298,0.158,9,-26.486,0,0.0343,0.992,0.945,0.102,0.147,147.312,audio_features,spotify:track:6CzluEyPZeSc2uXtE38jBX,https://api.spotify.com/v1/tracks/6CzluEyPZeSc2uXtE38jBX,https://api.spotify.com/v1/audio-analysis/6CzluEyPZeSc2uXtE38jBX,132273,3,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00]
